ID,Nombre,Fecha,Texto,Libro
1,Un día de locos,20/9/2003,"Como si nos costara poco traer el pan, el Caio pasó un rojo y nos cayó una multa. Ciento diez pesos por lo del semáforo, y doscientos cinco porque es menor de dieciséis. Total: trescientos quince mangos que hay que pagar o nos secuestran la tatadiós, que trascartón es la única movilidad que tiene el Nacho para ir al puesto.

Mi marido estaba que echaba humo, y lo corrió al Caio por el fondo hasta que lo agarró en un voleo y se desquitó un poco. Yo le gritaba: «¡Zacarías, dejá ese chico!», pero se conoce que no había caso. Si hubiéramos estado en la buena, el Zacarías no hace tanto esfuerzo por alcanzarlo al Caio. Como mucho le sacude un zapato desde el sillón; pero no andamos en la buena.

Antiyer al pobre lo cesantearon, después de veinte años en Plastivida S.A., y no consigue ni para changas. Está alterado y se pone como loco por nada.",Más respeto que soy tu madre
2,Más problemas,26/9/2003,"Acabo de llamar a la Intendencia para denunciar a la vieja Monforte, que vive al lado de casa y tiene Alzheimer y no para de escupir a la gente que pasa, desde la ventana. Yo creo que el Concejo Deliberante debería hacer algo con esta mujer... ¡Pero sabe Dios cuándo me van a contestar los de la Intendencia!

Trascartón, se me acaban de caer dos clientas que no quieren saber más nada con los pastelitos de membrillo que les hago los domingos. Dicen que empezaron la dieta del sirope y el jugo de limón. Yo no creo que duren mucho, porque les gusta morfar de lo lindo. Hoy hizo como treinta grados, y la Sofi me trajo un dos en cívica.",Más respeto que soy tu madre
3,¡Al fin una buena!,27/9/2003,"El Zacarías se colgó de DirecTV, haciendo un enredo en los techos de Schafetti, y ahora agarramos como ochenta y siete canales. Lo bueno es que se pueden ver cintas que hasta hace un mes pasaban en los cines del centro, y lo malo es que hay un canal, el 52, que lo tenemos que pasar rapidito porque la Sofi está en la edad que se quiere enterar de todo.

Pero no todo podía ser felicidad. Este mediodía estábamos mirando un canal de documentales y al Caio no se le ocurre mejor cosa que decir que el porro es más sano que el tetrabrik: el Zacarías le dio un revés que le sacó sangre. Está bien que mi marido es un bruto, yo no digo que no, pero el chico ¿qué necesidad tiene de buscarle roña al padre? Me dice la Emilia que es la edad: que cuando cumpla dieciocho se las toma y no le vemos más el pelo. La oiga Dios.",Más respeto que soy tu madre
4,Lo dicho,28/9/2003,"Teresa Gómez y Bocha Blandini, las dos vecinas que habían dejado de comprarme los pasteles de membrillo y batata de los domingos porque habían empezado la dieta del sirope y el jugo de limón, volvieron con mamita esta mañana, y me pidieron dos docenas para el chinchón de la noche. 

Las gordas no aguantaron ni dos días con el ayuno. Bocha incluso se desmayó a la salida del Provincia y la tuvieron que llevar entre cuatro hasta un remís. Así que el negocito de los pasteles sigue viento en popa.",Más respeto que soy tu madre
5,Brecha generacional,29/9/2003,"A la Susi, ahora que tenemos cable, la vemos dos veces al día. Primero en directo por canal 11, y a la noche la pasan dos días atrasada por un canal de Centroamérica. Don Américo dice que en los concursos hay tongo, porque la misma señora se sacó dos veces el premio de 250.000 pesos.

El Caio le quiso explicar a su abuelo que repiten los programas y eso, pero yo no sé si este chico es tartamudo o si le faltan fósforos, porque se atraviesa cuando habla y la embarulla más. Además después se hace el ofendido. Para mí, el Caio ya debe estar en la época que se mete todo el día en el baño.

La pizza congelada del Coto, que estuvo una semana entera a $1.99, volvió a $3.80... Yo creo que lo hacen para que una se encariñe y después la siga llevando. Otra no se me ocurre. El Nacho dice que eso se llama estrategia de márqueting. El Zacarías dice que no, que lo hacen para joderte la vida. Yo, esta vez, aunque el Nacho es el único que lee libros, estoy del lado del padre.",Más respeto que soy tu madre
6,"¡Adiós, tatadiós!",1/10/2003,"Ya nos habíamos hecho a la idea, pero es feo verlo: como no llegamos a juntar lo de la multa, hace un rato vino gente de la Intendencia y se nos llevaron la tatadiós arriba de un camioncito. (Todavía estoy temblando de los nervios).

Ahora dicen que hay que pagar un retrospectivo para poder sacarla del corralón. Dice el Nacho que es más barato conseguir otra moto usada. Lo que habría que conseguir, dice Zacarías, es una escopeta para sacrificar al Caio, por pelotudo. Para peor, la pizza del Coto volvió a $1.99. Nos quieren volver locos.",Más respeto que soy tu madre
7,Dos familias con problemas,2/10/2003,"Ya es un hecho: el Caio le afanó el telefonito a la Aurora Peroti. Todo salió a la luz hace un rato. Estuvimos toda la mañana mirando por TN el secuestro de una familia en Tortuguitas.

¡Ay, qué nervios! A eso de las diez y media los captores liberaron al padre, y se quedaron con la mujer y una hija. Y el padre tenía un teléfono móvil escondido y pudo llamar a la policía. Cuando el Caio oyó eso, envalentonado, nos dice:

«¿Ven?, cuando vengan a secuestrarnos los voy a poder ayudar». Y mostró su trofeo de la cena de ayer.

El Zacarías lo empezó a correr por toda la casa, y le gritaba: «¡Llamá a la ambulancia ahora, antes de que te agarre, hijo de puta!».

Entre el secuestro en directo por la tele y la confirmación de que mi hijo es un caco, estoy de los nervios.",Más respeto que soy tu madre
8,"¿Dónde estás, Cantinflas?",4/10/2003,"Esta mañana desapareció el Cantinflas y la vida se me está cayendo a pedazos. El que no me conoce podría pensar que me gusta el cine mexicano de risa, pero Cantinflas es nuestro gato, y desde anoche que no vuelve.

Esta mañana me desperté rara, y no sabía por qué. Era que no sentía el calorcito en las patas. ¿Qué hago? Me siento muy mal, con ganas de llorar, lo veo en todas partes, y a cada rato pienso lo peor. La Sofi me secunda en la tristeza, pero mi marido, que es un ser sin corazón, hace chistes desalmados.

Recién me dice «anoche cuando volvía del club lo vi al doberman de enfrente contento, y con una cola blanca saliéndole de la boca». Me destroza el corazón este hombre a mí, en vez de consolarme. ¿Dónde estás, Cantinflas? Voy a poner carteles por el barrio, después vuelvo.",Más respeto que soy tu madre
9,Porquerías de la tele de hoy día,5/10/2003,"Ahora dentro de un rato vamos a jugar el chinchón de los lunes, que es de lo más peleado y a cara de perro. Ni nos hablamos, porque el que gana se lleva de premio el control remoto de 11 a 12 de la noche.

Lo que pasa es que tenemos los gustos muy atravesados y nadie se pone de acuerdo. El Zacarías quiere mirar a Tinelli, los chicos Sol Negro y yo el programa ese que filman en la guardia de los hospitales.

La semana pasada ganó la Sofi con un menos diez en la última mano y nos tuvimos que comer el bodrio ese de América, el del manicomio, que además fue el capítulo donde menos se entendió una mierda.

¿Qué le ven los chicos a esos drogadictos que actúan de hacerse los locos? ¿Y al de la cara de goma de la foto? Yo no entiendo a la juventud de ahora.",Más respeto que soy tu madre
10,Causa y efecto de unos voladitos,6/10/2003,"A veces es malo revolver cosas en tu propia casa. Ayer, buscando una foto del Cantinflas, me metí en la pieza de la Sofi y me encontré con una bombacha suya a la que ella misma le había cosido un voladito de encaje.

Una es madre, pero antes que madre es mujer, y hay cosas que entiende al vuelo. Así que salí corriendo y le muestro a mi marido:

—Mirá tu hija, le puso un voladito a la bombacha.

—¿Y? —me dice el Zacarías.

—¡Que la nena coge, pedazo de esquenún! —le grito para que se despabile—. ¡Si una nena se pone voladito en la bombacha es para que alguien se lo mire! Ergo, culea.

Y el Zacarías, que cada vez está más vegetativo, me dice:

—¿Quién sos? ¿Petrocelli?",Más respeto que soy tu madre
